SMILES,Unnamed: 0,pIC50,num_atoms,logP,Molecular weight,TPSA,H Acceptors,H Donors,Ring Count,Lipinski pass
O=C(O)c1ccc(O)cc1O,2515,0.16,11,0.7959999999999998,154.12099999999998,77.76,3,3,1,True
O=Cc1ccccc1Cl,2516,0.01,9,2.1525,140.56899999999996,17.07,1,0,1,True
CCc1ccccc1O,2517,0.01,9,1.9545999999999997,122.16699999999996,20.23,1,1,1,True
OCc1ccccc1O,2518,0.13,9,0.8844999999999998,124.13899999999997,40.46,2,2,1,True
O=Cc1ccccc1O,2519,0.06,9,1.2047,122.12299999999996,37.3,2,1,1,True
COc1ccccc1N,2520,0.05,9,1.2773999999999999,123.15499999999999,35.25,2,1,1,True
COc1ccccc1O,2521,0.04,9,1.4008,124.13899999999997,29.46,2,1,1,True
Cc1cccc2ccccc12,2522,0.0,11,3.148220000000002,142.201,0.0,0,0,2,True
Clc1cccc2ccccc12,2523,0.0,11,3.4932000000000016,162.61899999999997,0.0,0,0,2,True
Oc1cccc2ccccc12,2524,0.0,11,2.5454000000000008,144.17299999999997,20.23,1,1,2,True
O=c1nn[nH]c2ccccc12,2525,0.48,11,0.31809999999999966,147.13699999999997,58.64,3,1,2,True
Cc1cc(=O)oc2cc(O)ccc12,2527,0.02,13,1.8070199999999998,176.171,50.44,3,1,2,True
