,SMILES,pIC50,num_atoms,logP
10739,CN(C)C(=O)OCc1ccc(OCc2ccccc2)cc1,0.0,21,3.4638000000000027
10740,CN(C)C(=O)OCc1ccc([N+](=O)[O-])cc1,0.02,16,1.793
10741,CN(C)C(=O)OCc1ccc(C#N)cc1,0.02,15,1.75648
10742,CN(C)C(=O)OCc1ccc(Br)cc1,0.0,14,2.6473000000000013
10743,CN(C)C(=O)OCc1ccc(I)cc1,0.0,14,2.4894000000000007
10744,CN(C)C(=O)OCc1ccc(C(F)(F)F)cc1,0.0,17,2.9036000000000017
10745,CN(C)C(=O)OCc1ccc(OC(=O)N(C)C)cc1,0.01,19,1.9452
10746,CSc1ccc(COC(=O)N(C)C)cc1,0.0,15,2.606700000000001
10747,CC(=O)NC(CC(N)=O)C(N)=O,,12,-2.148199999999999
10748,CCNc1nc(Cl)nc(NC2CCCCC2)n1,0.0,17,2.7014000000000005
10749,CN(C)c1ncc(-c2ccncc2)cc1C#N,0.01,17,2.08128
10750,CCC(CNC)c1ccccc1,0.0,12,2.3996000000000004
10751,CNCC(c1ccccc1)C(C)C,0.0,13,2.645600000000001
10752,CNCC(CC(C)C)c1ccccc1,0.0,14,3.035700000000001
10753,CCC(C(c1ccc(OC)cc1)c1ccc(OC)cc1)[N+](=O)[O-],0.0,23,3.8910000000000022
10754,COc1ccc(C(C[N+](=O)[O-])c2ccc(OC)cc2)cc1,0.0,21,3.112400000000002
10755,O=c1[nH]c(=O)n(Cc2ccc(Cl)cc2)cc1F,0.04,17,1.3774
10756,COc1ccc(Cn2cc(F)c(=O)[nH]c2=O)cc1,0.19,18,0.7326000000000001
10757,COC1C(OC(C)=O)CC(=O)OC(C)CC2OC2C=CC(=O)C(C)CC(CC=O)C1OC1OC(C)C(O)C(N(C)C)C1O,0.27,43,0.5647000000000042
10758,Nc1nc(=O)c2ncn(C3CCC(CO)O3)c2[nH]1,,18,-0.6283000000000005
10759,CCCCOC(=O)n1cc(F)c(=O)[nH]c1=O,0.35,16,0.4604999999999998
10760,CCC1(CC)C(=O)NC(=O)N(C(C)C)C1=O,0.05,16,1.2795999999999998
10761,CCC1(c2ccccc2)C(=O)NC(=O)N(C(C)C)C1=O,0.02,20,1.8212
10762,CCC1(c2ccccc2)C(=O)N=C(OC(C)C)NC1=O,0.02,20,1.7717999999999998
10763,CCC1(CC)C(=O)NC(=O)N=C1OC(C)C,0.01,16,1.8661
10764,CCC1(c2ccccc2)C(=O)NC(=O)N=C1OC(C)C,0.0,20,2.4077
10765,CCC1(CC)C(=O)N=C(OC(C)C)NC1=O,0.06,16,1.2302
10766,C[Si](Cn1cncn1)(c1ccc(F)cc1)c1ccc(F)cc1,0.01,22,1.9885
10767,CCOc1ccc(Cc2cnc(N)nc2N)cc1OC,0.02,20,1.6390999999999998
10768,CC=Cc1c(OC)cc(Cc2cnc(N)nc2N)cc1OCC,0.0,23,2.672200000000001
10769,COc1ccc(Cc2cnc(N)nc2N)cc1I,0.01,18,1.845
10770,COc1ccc(Cc2cnc(N)nc2N)cc1N,0.15,18,0.8225999999999998
10771,COc1cc(Cc2cnc(N)nc2N)ccc1N,0.15,18,0.8225999999999998
10772,COc1ccc(Cc2cnc(N)nc2N)cc1N(C)C,0.05,20,1.3063999999999998
10773,COc1cc(Cc2cnc(N)nc2N)ccc1N(C)C,0.05,20,1.3063999999999998
10774,COc1ccc(Br)cc1Cc1cnc(N)nc1N,0.01,18,2.0028999999999995
10775,COc1ccc(Br)c(Cc2cnc(N)nc2N)c1,0.01,18,2.0028999999999995
10776,COc1cc(Cc2cnc(N)nc2N)c(Br)cc1Br,0.0,19,2.7654
10777,COc1cc(Cc2cnc(N)nc2N)c(I)c(OC)c1OC,0.01,22,1.8622
10778,CCCOc1cc(Cc2cnc(N)nc2N)ccc1OC,0.01,21,2.0292
10779,NC(=O)c1ncn2c(=O)n(CCCl)nnc12,,16,-1.3763000000000003
10780,CC(C)(C)[N+]([O-])=Cc1ccc(F)cc1,0.0,14,2.553400000000001
10781,Cc1ccn2c(=O)ccnc2c1,0.1,12,1.00292
10782,CCc1ccc(C=[N+]([O-])C(C)(C)C)cc1,0.0,15,2.976700000000002
10783,Cn1c(S)nnc(-c2ccc(F)cc2)c1=O,0.05,16,1.2700999999999998
10784,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,0.03,24,1.5833
10785,COC(=O)CS(=O)c1ccc([N+](=O)[O-])cc1,0.13,16,0.8754000000000001
10786,CNC(=O)c1c[nH]c2ccccc12,0.03,13,1.5275
10787,CCN(C(=O)SCc1ccccc1)C(C)C(C)C,0.0,18,4.406200000000004
10788,COc1ccccc1C(=O)NCCCN(C)C,0.04,17,1.3766999999999998
10789,CCN(CC)CCCNC(=O)c1ccccc1OC,0.01,19,2.1569
10790,Nc1cccc(NC(=O)Cc2ccccc2)c1,0.0,17,2.45
10791,CCCn1c(=O)c2[nH]c(-c3ccc(Cl)cc3N)nc2n(CCC)c1=O,0.0,25,2.6089
10792,CNC(=O)ON=Cc1ccc(Cl)c(Cl)c1,0.0,15,2.683300000000001
10793,CNC(=O)ON=Cc1cccc(Oc2ccccc2)c1,0.0,20,3.168800000000002
10794,CSc1cccc(NC(N)=O)c1,0.01,12,1.8991
10795,NC(=O)Nc1ccc(Oc2ccc(Br)cc2)cc1,0.0,18,3.732000000000001
10796,CCCc1ccc(NC(=O)N(C)C)cc1,0.0,15,2.7326000000000006
10797,Clc1ccc(Oc2ccc(Cl)c(Cl)c2Cl)cc1Cl,0.0,18,6.745900000000002
10798,Clc1cc(Cl)c(Oc2ccccc2)c(Cl)c1Cl,0.0,17,6.092500000000002
10799,Clc1ccc(Oc2c(Cl)cccc2Cl)c(Cl)c1Cl,0.0,18,6.745900000000002
10800,Clc1cc(Cl)c(Oc2c(Cl)ccc(Cl)c2Cl)cc1Cl,0.0,19,7.399300000000001
10801,CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,0.0,29,2.920300000000001
10802,N#CC(C#N)=NNc1ccc(C(=O)CCl)cc1,0.01,17,1.92316
10803,Cn1c([N+](=O)[O-])cnc1Cl,0.1,10,0.9816999999999998
10804,CC(C)(C)c1cc(C(O)CCC2CCNCC2)c2ccccc2n1,0.0,24,4.345500000000004
10805,Cc1ccc(Cc2cnc(NCCCCc3ncc(Br)cc3C)[nH]c2=O)cn1,0.0,28,3.9648400000000015
10806,COc1cc(S(C)=O)ccc1-c1nc2ccncc2[nH]1,0.0,20,2.3709
10807,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,0.18,22,0.7357999999999993
10808,CNn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,0.17,24,0.7639000000000002
10809,COc1cc2c(c(OC)c1O)-c1ccc(OC)c(=O)cc1C(NC(=O)C(F)(F)F)CC2,0.0,31,3.1110000000000007
10810,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1C2N1C(=O)OCc1ccccc1,0.4,34,0.3980000000000028
10811,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)F)c(Cl)c1,0.0,29,5.470200000000001
10812,COc1ccc(C(=O)CS(=O)(=O)c2ccc(C)cc2)cc1,0.0,21,2.6602200000000007
10813,CN(C)c1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,0.01,19,2.1676
10814,CCCCCCCCCCOC(=O)N(C)SN(C)C(=O)ON=C(C)SC,0.0,26,5.523500000000007
